DriverPointsPerRace,TeamPointsPerRace,GridPosition,FinishPosition,PitStops,Stint1Length,Stint1Compound,Stint2Length,Stint2Compound,Stint3Length,Stint3Compound,Stint4Length,Stint4Compound,Laps,LengthKM,TurnCount,DrsZones,PitLaneLengthM,DegradationLevel,StreetCircuit,AvgTrackTemp,AvgAirTemp,AvgHumidity,RainfallMM,SafetyCarLaps,Score
0.25,3.25,20.0,12.0,1,32,C1,31,C1,0,,0,,66,4.655,14,2,367,High,False,32.33904761904761,16.050476190476193,52.28666666666667,0.7904761904761904,8,0
0.5,2.5,17.0,13.0,1,34,C1,29,C2,0,,0,,66,4.655,14,2,367,High,False,32.33904761904761,16.050476190476193,52.28666666666667,0.7904761904761904,8,0
0.0,1.0,19.0,14.0,2,23,C1,17,C1,22,C3,0,,66,4.655,14,2,367,High,False,32.33904761904761,16.050476190476193,52.28666666666667,0.7904761904761904,8,0
9.4,16.0,1.0,1.0,1,15,C5,61,C4,0,,0,,78,3.337,19,1,350,Low,True,34.60973451327434,26.640707964601766,50.892920353982305,0.12389380530973451,2,25
15.6,25.2,2.0,2.0,1,15,C5,62,C4,0,,0,,78,3.337,19,1,350,Low,True,34.60973451327434,26.640707964601766,50.892920353982305,0.12389380530973451,2,18
19.0,30.6,3.0,3.0,1,11,C5,66,C4,0,,0,,78,3.337,19,1,350,Low,True,34.60973451327434,26.640707964601766,50.892920353982305,0.12389380530973451,2,15
9.6,25.2,4.0,4.0,1,16,C5,61,C4,0,,0,,78,3.337,19,1,350,Low,True,34.60973451327434,26.640707964601766,50.892920353982305,0.12389380530973451,2,12
11.6,30.6,5.0,5.0,1,16,C5,61,C3,0,,0,,78,3.337,19,1,350,Low,True,34.60973451327434,26.640707964601766,50.892920353982305,0.12389380530973451,2,10
0.2,3.6,6.0,6.0,1,22,C5,55,C3,0,,0,,78,3.337,19,1,350,Low,True,34.60973451327434,26.640707964601766,50.892920353982305,0.12389380530973451,2,8
2.4,2.6,10.0,7.0,1,36,C5,41,C3,0,,0,,78,3.337,19,1,350,Low,True,34.60973451327434,26.640707964601766,50.892920353982305,0.12389380530973451,2,11
4.4,8.2,11.0,8.0,1,49,C4,28,C5,0,,0,,78,3.337,19,1,350,Low,True,34.60973451327434,26.640707964601766,50.892920353982305,0.12389380530973451,2,8
6.6,16.0,20.0,9.0,1,46,C4,31,C5,0,,0,,78,3.337,19,1,350,Low,True,34.60973451327434,26.640707964601766,50.892920353982305,0.12389380530973451,2,4
3.8,8.2,8.0,10.0,1,15,C5,62,C4,0,,0,,78,3.337,19,1,350,Low,True,34.60973451327434,26.640707964601766,50.892920353982305,0.12389380530973451,2,-2
0.4,2.2,16.0,11.0,1,16,C4,61,C3,0,,0,,78,3.337,19,1,350,Low,True,34.60973451327434,26.640707964601766,50.892920353982305,0.12389380530973451,2,0
3.4,3.6,9.0,12.0,1,20,C5,57,C3,0,,0,,78,3.337,19,1,350,Low,True,34.60973451327434,26.640707964601766,50.892920353982305,0.12389380530973451,2,-2
3.8,3.8,19.0,13.0,1,16,C4,61,C3,0,,0,,78,3.337,19,1,350,Low,True,34.60973451327434,26.640707964601766,50.892920353982305,0.12389380530973451,2,0
1.6,8.0,12.0,14.0,2,19,C4,52,C3,5,C5,0,,78,3.337,19,1,350,Low,True,34.60973451327434,26.640707964601766,50.892920353982305,0.12389380530973451,2,0
0.0,3.8,18.0,15.0,2,14,C4,53,C3,9,C5,0,,78,3.337,19,1,350,Low,True,34.60973451327434,26.640707964601766,50.892920353982305,0.12389380530973451,2,0
0.0,0.8,13.0,16.0,3,6,C5,12,C5,30,C4,28,C3,78,3.337,19,1,350,Low,True,34.60973451327434,26.640707964601766,50.892920353982305,0.12389380530973451,2,0
0.8,0.8,17.0,17.0,3,8,C4,25,C3,25,C5,17,C5,78,3.337,19,1,350,Low,True,34.60973451327434,26.640707964601766,50.892920353982305,0.12389380530973451,2,0
16.0,26.0,1.0,1.0,1,35,C4,33,C3,0,,0,,70,4.361,14,2,404,Low,True,36.94905660377359,20.52358490566038,27.82547169811321,0.0,4,25
11.333333333333334,29.666666666666668,2.0,2.0,1,35,C4,34,C3,0,,0,,70,4.361,14,2,404,Low,True,36.94905660377359,20.52358490566038,27.82547169811321,0.0,4,18
