Season,Round,Driver,Points
2019,3,RIC,6.0
2019,3,PER,5.0
2019,3,ALB,3.0
2019,3,STR,2.0
2019,3,KVY,1.0
2019,3,GIO,0.0
2019,3,RUS,0.0
2019,3,KUB,0.0
2019,3,GRO,0.0
2019,3,SAI,0.0
2019,4,BOT,87.0
2019,4,HAM,86.0
2019,4,VET,52.0
2019,4,VER,51.0
2019,4,LEC,47.0
2019,4,RAI,13.0
2019,4,GAS,13.0
2019,4,PER,13.0
2019,4,NOR,12.0
2019,4,MAG,8.0
2019,4,HUL,6.0
2019,4,RIC,6.0
2019,4,SAI,6.0
2019,4,STR,4.0
2019,4,ALB,3.0
2019,4,KVY,1.0
2019,4,GIO,0.0
2019,4,RUS,0.0
2019,4,KUB,0.0
2019,4,GRO,0.0
2019,5,HAM,112.0
2019,5,BOT,105.0
2019,5,VER,66.0
2019,5,VET,64.0
2019,5,LEC,57.0
2019,5,GAS,21.0
2019,5,MAG,14.0
2019,5,RAI,13.0
2019,5,PER,13.0
2019,5,NOR,12.0
2019,5,SAI,10.0
2019,5,HUL,6.0
2019,5,RIC,6.0
2019,5,STR,4.0
2019,5,KVY,3.0
2019,5,ALB,3.0
2019,5,GRO,1.0
2019,5,GIO,0.0
2019,5,RUS,0.0
2019,5,KUB,0.0
2019,6,HAM,137.0
2019,6,BOT,120.0
2019,6,VET,82.0
2019,6,VER,78.0
2019,6,LEC,57.0
2019,6,GAS,32.0
2019,6,SAI,18.0
2019,6,MAG,14.0
2019,6,RAI,13.0
2019,6,PER,13.0
2019,6,NOR,12.0
2019,6,KVY,9.0
2019,6,RIC,8.0
2019,6,ALB,7.0
2019,6,HUL,6.0
2019,6,STR,4.0
2019,6,GRO,2.0
2019,6,GIO,0.0
2019,6,RUS,0.0
2019,6,KUB,0.0
2019,7,HAM,162.0
2019,7,BOT,133.0
2019,7,VET,100.0
2019,7,VER,88.0
2019,7,LEC,72.0
2019,7,GAS,36.0
2019,7,SAI,18.0
2019,7,RIC,16.0
2019,7,MAG,14.0
2019,7,RAI,13.0
2019,7,PER,13.0
2019,7,HUL,12.0
2019,7,NOR,12.0
2019,7,KVY,10.0
2019,7,ALB,7.0
2019,7,STR,6.0
2019,7,GRO,2.0
2019,7,GIO,0.0
2019,7,RUS,0.0
2019,7,KUB,0.0
2019,8,HAM,187.0
2019,8,BOT,151.0
2019,8,VET,111.0
2019,8,VER,100.0
2019,8,LEC,87.0
2019,8,GAS,37.0
2019,8,SAI,26.0
2019,8,RAI,19.0
2019,8,HUL,16.0
2019,8,RIC,16.0
2019,8,MAG,14.0
2019,8,NOR,14.0
2019,8,PER,13.0
2019,8,KVY,10.0
2019,8,ALB,7.0
2019,8,STR,6.0
2019,8,GRO,2.0
2019,8,GIO,0.0
2019,8,RUS,0.0
2019,8,KUB,0.0
2019,9,HAM,197.0
2019,9,BOT,166.0
2019,9,VER,126.0
2019,9,VET,123.0
2019,9,LEC,105.0
2019,9,GAS,43.0
2019,9,SAI,30.0
2019,9,NOR,22.0
2019,9,RAI,21.0
2019,9,HUL,16.0
2019,9,RIC,16.0
2019,9,MAG,14.0
2019,9,PER,13.0
2019,9,KVY,10.0
2019,9,ALB,7.0
2019,9,STR,6.0
2019,9,GRO,2.0
2019,9,GIO,1.0
2019,9,RUS,0.0
2019,9,KUB,0.0
2019,10,HAM,223.0
2019,10,BOT,184.0
2019,10,VER,136.0
2019,10,VET,123.0
2019,10,LEC,120.0
2019,10,GAS,55.0
2019,10,SAI,38.0
2019,10,RAI,25.0
2019,10,NOR,22.0
2019,10,RIC,22.0
2019,10,HUL,17.0
2019,10,MAG,14.0
2019,10,PER,13.0
2019,10,KVY,12.0
2019,10,ALB,7.0
2019,10,STR,6.0
2019,10,GRO,2.0
2019,10,GIO,1.0
2019,10,RUS,0.0
2019,10,KUB,0.0
2019,11,HAM,225.0
2019,11,BOT,184.0
2019,11,VER,162.0
2019,11,VET,141.0
2019,11,LEC,120.0
2019,11,GAS,55.0
2019,11,SAI,48.0
2019,11,KVY,27.0
2019,11,RAI,25.0
