Driver,GrandPrix,DriverPointsPerRace,TeamPointsPerRace,GridPosition,FinishPosition,PitStops,Stint1Length,Stint1Compound,Stint2Length,Stint2Compound,Stint3Length,Stint3Compound,Stint4Length,Stint4Compound,Strategy,Laps,LengthKM,TurnCount,DrsZones,PitLaneLengthM,DegradationLevel,StreetCircuit,AvgTrackTemp,AvgAirTemp,AvgHumidity,RainfallMM,SafetyCarLaps
ALO,Qatar Grand Prix 2021,3.263157894736842,5.894736842105263,3.0,3.0,1,23,C3,34,C1,0,,0,,C3-C1,57,5.419,16,1,405,High,False,30.60328947368421,26.41513157894737,75.54013157894737,0.019736842105263157,3
PER,Qatar Grand Prix 2021,9.368421052631579,26.86842105263158,11.0,4.0,2,19,C2,22,C1,16,C2,0,,C2-C1-C2,57,5.419,16,1,405,High,False,30.60328947368421,26.41513157894737,75.54013157894737,0.019736842105263157,3
OCO,Qatar Grand Prix 2021,2.6315789473684212,5.894736842105263,9.0,5.0,1,24,C3,33,C1,0,,0,,C3-C1,57,5.419,16,1,405,High,False,30.60328947368421,26.41513157894737,75.54013157894737,0.019736842105263157,3
STR,Qatar Grand Prix 2021,1.368421052631579,3.5789473684210527,12.0,6.0,1,23,C2,34,C1,0,,0,,C2-C1,57,5.419,16,1,405,High,False,30.60328947368421,26.41513157894737,75.54013157894737,0.019736842105263157,3
SAI,Qatar Grand Prix 2021,7.342105263157895,15.131578947368421,5.0,7.0,1,27,C2,30,C1,0,,0,,C2-C1,57,5.419,16,1,405,High,False,30.60328947368421,26.41513157894737,75.54013157894737,0.019736842105263157,3
LEC,Qatar Grand Prix 2021,7.7894736842105265,15.131578947368421,13.0,8.0,1,27,C2,30,C1,0,,0,,C2-C1,57,5.419,16,1,405,High,False,30.60328947368421,26.41513157894737,75.54013157894737,0.019736842105263157,3
NOR,Qatar Grand Prix 2021,7.947368421052632,13.473684210526315,4.0,9.0,2,25,C3,24,C1,7,C2,0,,C3-C1-C2,57,5.419,16,1,405,High,False,30.60328947368421,26.41513157894737,75.54013157894737,0.019736842105263157,3
VET,Qatar Grand Prix 2021,2.210526315789474,3.5789473684210527,10.0,10.0,1,26,C3,30,C2,0,,0,,C3-C2,57,5.419,16,1,405,High,False,30.60328947368421,26.41513157894737,75.54013157894737,0.019736842105263157,3
GAS,Qatar Grand Prix 2021,4.842105263157895,5.894736842105263,2.0,11.0,2,13,C3,22,C2,21,C2,0,,C3-C2-C2,57,5.419,16,1,405,High,False,30.60328947368421,26.41513157894737,75.54013157894737,0.019736842105263157,3
RIC,Qatar Grand Prix 2021,5.526315789473684,13.473684210526315,14.0,12.0,1,26,C2,30,C1,0,,0,,C2-C1,57,5.419,16,1,405,High,False,30.60328947368421,26.41513157894737,75.54013157894737,0.019736842105263157,3
TSU,Qatar Grand Prix 2021,1.0526315789473684,5.894736842105263,8.0,13.0,2,9,C3,25,C2,22,C1,0,,C3-C2-C1,57,5.419,16,1,405,High,False,30.60328947368421,26.41513157894737,75.54013157894737,0.019736842105263157,3
RAI,Qatar Grand Prix 2021,0.5263157894736842,0.5789473684210527,16.0,14.0,2,10,C3,20,C2,26,C1,0,,C3-C2-C1,57,5.419,16,1,405,High,False,30.60328947368421,26.41513157894737,75.54013157894737,0.019736842105263157,3
GIO,Qatar Grand Prix 2021,0.05263157894736842,0.5789473684210527,18.0,15.0,2,15,C3,17,C2,24,C2,0,,C3-C2-C2,57,5.419,16,1,405,High,False,30.60328947368421,26.41513157894737,75.54013157894737,0.019736842105263157,3
MSC,Qatar Grand Prix 2021,0.0,0.0,19.0,16.0,1,22,C3,34,C2,0,,0,,C3-C2,57,5.419,16,1,405,High,False,30.60328947368421,26.41513157894737,75.54013157894737,0.019736842105263157,3
RUS,Qatar Grand Prix 2021,0.8421052631578947,1.2105263157894737,15.0,17.0,2,17,C3,32,C1,6,C3,0,,C3-C1-C3,57,5.419,16,1,405,High,False,30.60328947368421,26.41513157894737,75.54013157894737,0.019736842105263157,3
MAZ,Qatar Grand Prix 2021,0.0,0.0,20.0,18.0,1,31,C2,24,C3,0,,0,,C2-C3,57,5.419,16,1,405,High,False,30.60328947368421,26.41513157894737,75.54013157894737,0.019736842105263157,3
HAM,Saudi Arabian Grand Prix 2021,17.175,27.325,1.0,1.0,3,10,C3,3,C2,2,C2,35,C2,C3-C2-C2-C2,50,6.175,27,3,337,Medium,True,31.68497409326425,28.816062176165804,76.20310880829015,0.0,15
VER,Saudi Arabian Grand Prix 2021,17.575,27.075,3.0,2.0,2,13,C3,2,C2,35,C3,0,,C3-C2-C3,50,6.175,27,3,337,Medium,True,31.68497409326425,28.816062176165804,76.20310880829015,0.0,15
BOT,Saudi Arabian Grand Prix 2021,10.15,27.325,2.0,3.0,3,10,C3,3,C2,2,C2,35,C3,C3-C2-C2-C3,50,6.175,27,3,337,Medium,True,31.68497409326425,28.816062176165804,76.20310880829015,0.0,15
OCO,Saudi Arabian Grand Prix 2021,3.0,6.85,9.0,4.0,2,13,C3,2,C2,35,C2,0,,C3-C2-C2,50,6.175,27,3,337,Medium,True,31.68497409326425,28.816062176165804,76.20310880829015,0.0,15
RIC,Saudi Arabian Grand Prix 2021,5.25,12.9,11.0,5.0,2,13,C2,2,C3,35,C3,0,,C2-C3-C3,50,6.175,27,3,337,Medium,True,31.68497409326425,28.816062176165804,76.20310880829015,0.0,15
GAS,Saudi Arabian Grand Prix 2021,4.6,5.6,6.0,6.0,2,13,C3,2,C2,35,C2,0,,C3-C2-C2,50,6.175,27,3,337,Medium,True,31.68497409326425,28.816062176165804,76.20310880829015,0.0,15
LEC,Saudi Arabian Grand Prix 2021,7.6,14.875,4.0,7.0,3,10,C3,3,C2,2,C2,35,C2,C3-C2-C2-C2,50,6.175,27,3,337,Medium,True,31.68497409326425,28.816062176165804,76.20310880829015,0.0,15
SAI,Saudi Arabian Grand Prix 2021,7.275,14.875,15.0,8.0,2,13,C2,2,C3,35,C3,0,,C2-C3-C3,50,6.175,27,3,337,Medium,True,31.68497409326425,28.816062176165804,76.20310880829015,0.0,15
GIO,Saudi Arabian Grand Prix 2021,0.05,0.55,10.0,9.0,2,13,C3,2,C2,35,C2,0,,C3-C2-C2,50,6.175,27,3,337,Medium,True,31.68497409326425,28.816062176165804,76.20310880829015,0.0,15
NOR,Saudi Arabian Grand Prix 2021,7.65,12.9,7.0,10.0,3,10,C4,3,C2,2,C2,35,C2,C4-C2-C2-C2,50,6.175,27,3,337,Medium,True,31.68497409326425,28.816062176165804,76.20310880829015,0.0,15
STR,Saudi Arabian Grand Prix 2021,1.7,3.85,18.0,11.0,3,9,C3,4,C2,2,C2,35,C3,C3-C2-C2-C3,50,6.175,27,3,337,Medium,True,31.68497409326425,28.816062176165804,76.20310880829015,0.0,15
LAT,Saudi Arabian Grand Prix 2021,0.35,1.15,16.0,12.0,3,10,C3,3,C2,2,C3,35,C2,C3-C2-C3-C2,50,6.175,27,3,337,Medium,True,31.68497409326425,28.816062176165804,76.20310880829015,0.0,15
ALO,Saudi Arabian Grand Prix 2021,3.85,6.85,13.0,13.0,4,10,C3,3,C2,2,C2,29,C2,C3-C2-C2-C2,50,6.175,27,3,337,Medium,True,31.68497409326425,28.816062176165804,76.20310880829015,0.0,15
TSU,Saudi Arabian Grand Prix 2021,1.0,5.6,8.0,14.0,3,13,C3,2,C2,8,C3,26,C2,C3-C2-C3-C2,50,6.175,27,3,337,Medium,True,31.68497409326425,28.816062176165804,76.20310880829015,0.0,15
RAI,Saudi Arabian Grand Prix 2021,0.5,0.55,12.0,15.0,3,13,C3,2,C2,11,C2,23,C3,C3-C2-C2-C3,50,6.175,27,3,337,Medium,True,31.68497409326425,28.816062176165804,76.20310880829015,0.0,15
VER,Abu Dhabi Grand Prix 2021,17.595238095238095,26.642857142857142,1.0,1.0,3,13,C5,23,C3,17,C3,5,C5,C5-C3-C3-C5,55,5.554,16,2,630,Medium,False,28.465605095541402,24.519108280254777,59.05477707006369,0.0,9
HAM,Abu Dhabi Grand Prix 2021,17.595238095238095,27.976190476190474,2.0,2.0,1,14,C4,44,C3,0,,0,,C4-C3,55,5.554,16,2,630,Medium,False,28.465605095541402,24.519108280254777,59.05477707006369,0.0,9
SAI,Abu Dhabi Grand Prix 2021,7.119047619047619,14.642857142857142,5.0,3.0,1,19,C5,39,C3,0,,0,,C5-C3,55,5.554,16,2,630,Medium,False,28.465605095541402,24.519108280254777,59.05477707006369,0.0,9
TSU,Abu Dhabi Grand Prix 2021,0.9523809523809523,5.714285714285714,8.0,4.0,2,23,C4,30,C3,5,C5,0,,C4-C3-C5,55,5.554,16,2,630,Medium,False,28.465605095541402,24.519108280254777,59.05477707006369,0.0,9
GAS,Abu Dhabi Grand Prix 2021,4.761904761904762,5.714285714285714,12.0,5.0,2,36,C3,18,C4,4,C5,0,,C3-C4-C5,55,5.554,16,2,630,Medium,False,28.465605095541402,24.519108280254777,59.05477707006369,0.0,9
BOT,Abu Dhabi Grand Prix 2021,10.380952380952381,27.976190476190474,6.0,6.0,1,30,C4,28,C3,0,,0,,C4-C3,55,5.554,16,2,630,Medium,False,28.465605095541402,24.519108280254777,59.05477707006369,0.0,9
NOR,Abu Dhabi Grand Prix 2021,7.333333333333333,12.80952380952381,3.0,7.0,2,17,C5,31,C3,10,C4,0,,C5-C3-C4,55,5.554,16,2,630,Medium,False,28.465605095541402,24.519108280254777,59.05477707006369,0.0,9
ALO,Abu Dhabi Grand Prix 2021,3.6666666666666665,7.095238095238095,11.0,8.0,1,36,C3,22,C4,0,,0,,C3-C4,55,5.554,16,2,630,Medium,False,28.465605095541402,24.519108280254777,59.05477707006369,0.0,9
OCO,Abu Dhabi Grand Prix 2021,3.4285714285714284,7.095238095238095,9.0,9.0,1,15,C5,43,C3,0,,0,,C5-C3,55,5.554,16,2,630,Medium,False,28.465605095541402,24.519108280254777,59.05477707006369,0.0,9
LEC,Abu Dhabi Grand Prix 2021,7.523809523809524,14.642857142857142,7.0,10.0,2,15,C5,20,C3,23,C4,0,,C5-C3-C4,55,5.554,16,2,630,Medium,False,28.465605095541402,24.519108280254777,59.05477707006369,0.0,9
VET,Abu Dhabi Grand Prix 2021,2.0476190476190474,3.6666666666666665,15.0,11.0,1,23,C4,35,C3,0,,0,,C4-C3,55,5.554,16,2,630,Medium,False,28.465605095541402,24.519108280254777,59.05477707006369,0.0,9
RIC,Abu Dhabi Grand Prix 2021,5.476190476190476,12.80952380952381,10.0,12.0,2,18,C5,34,C3,5,C5,0,,C5-C3-C5,55,5.554,16,2,630,Medium,False,28.465605095541402,24.519108280254777,59.05477707006369,0.0,9
STR,Abu Dhabi Grand Prix 2021,1.619047619047619,3.6666666666666665,13.0,13.0,2,21,C4,31,C3,5,C5,0,,C4-C3-C5,55,5.554,16,2,630,Medium,False,28.465605095541402,24.519108280254777,59.05477707006369,0.0,9
MSC,Abu Dhabi Grand Prix 2021,0.0,0.0,19.0,14.0,2,10,C5,42,C3,5,C5,0,,C5-C3-C5,55,5.554,16,2,630,Medium,False,28.465605095541402,24.519108280254777,59.05477707006369,0.0,9
LEC,Bahrain Grand Prix 2022,7.2272727272727275,14.704545454545455,1.0,1.0,3,15,C3,16,C3,15,C2,11,C3,C3-C3-C2-C3,57,5.412,15,3,440,High,False,28.61042944785276,23.617791411042944,29.49079754601227,0.0,6
SAI,Bahrain Grand Prix 2022,7.4772727272727275,14.704545454545455,3.0,2.0,3,14,C3,19,C3,11,C2,13,C3,C3-C3-C2-C3,57,5.412,15,3,440,High,False,28.61042944785276,23.617791411042944,29.49079754601227,0.0,6
HAM,Bahrain Grand Prix 2022,17.613636363636363,27.886363636363637,5.0,3.0,3,11,C3,16,C1,17,C2,13,C3,C3-C1-C2-C3,57,5.412,15,3,440,High,False,28.61042944785276,23.617791411042944,29.49079754601227,0.0,6
RUS,Bahrain Grand Prix 2022,0.7272727272727273,27.886363636363637,9.0,4.0,3,15,C3,18,C1,12,C2,12,C3,C3-C1-C2-C3,57,5.412,15,3,440,High,False,28.61042944785276,23.617791411042944,29.49079754601227,0.0,6
MAG,Bahrain Grand Prix 2022,0.0,0.0,7.0,5.0,3,14,C3,20,C3,12,C2,11,C3,C3-C3-C2-C3,57,5.412,15,3,440,High,False,28.61042944785276,23.617791411042944,29.49079754601227,0.0,6
BOT,Bahrain Grand Prix 2022,10.272727272727273,0.5909090909090909,6.0,6.0,3,14,C3,22,C2,9,C2,12,C3,C3-C2-C2-C3,57,5.412,15,3,440,High,False,28.61042944785276,23.617791411042944,29.49079754601227,0.0,6
OCO,Bahrain Grand Prix 2022,3.3636363636363638,7.045454545454546,11.0,7.0,3,14,C3,16,C2,13,C1,14,C3,C3-C2-C1-C3,57,5.412,15,3,440,High,False,28.61042944785276,23.617791411042944,29.49079754601227,0.0,6
TSU,Bahrain Grand Prix 2022,1.4545454545454546,6.454545454545454,16.0,8.0,3,15,C3,14,C2,15,C3,13,C3,C3-C2-C3-C3,57,5.412,15,3,440,High,False,28.61042944785276,23.617791411042944,29.49079754601227,0.0,6
ALO,Bahrain Grand Prix 2022,3.6818181818181817,7.045454545454546,8.0,9.0,3,11,C3,14,C2,17,C1,15,C3,C3-C2-C1-C3,57,5.412,15,3,440,High,False,28.61042944785276,23.617791411042944,29.49079754601227,0.0,6
ZHO,Bahrain Grand Prix 2022,0.0,0.5909090909090909,15.0,10.0,3,15,C3,22,C2,8,C2,12,C3,C3-C2-C2-C3,57,5.412,15,3,440,High,False,28.61042944785276,23.617791411042944,29.49079754601227,0.0,6
MSC,Bahrain Grand Prix 2022,0.0,0.0,12.0,11.0,2,12,C3,23,C2,22,C3,0,,C3-C2-C3,57,5.412,15,3,440,High,False,28.61042944785276,23.617791411042944,29.49079754601227,0.0,6
STR,Bahrain Grand Prix 2022,1.5454545454545454,3.5,19.0,12.0,3,18,C3,20,C3,7,C2,12,C3,C3-C3-C2-C3,57,5.412,15,3,440,High,False,28.61042944785276,23.617791411042944,29.49079754601227,0.0,6
ALB,Bahrain Grand Prix 2022,0.0,1.0454545454545454,14.0,13.0,3,13,C3,22,C2,11,C2,11,C3,C3-C2-C2-C3,57,5.412,15,3,440,High,False,28.61042944785276,23.617791411042944,29.49079754601227,0.0,6
RIC,Bahrain Grand Prix 2022,5.2272727272727275,12.5,18.0,14.0,3,17,C2,16,C3,11,C1,13,C3,C2-C3-C1-C3,57,5.412,15,3,440,High,False,28.61042944785276,23.617791411042944,29.49079754601227,0.0,6
NOR,Bahrain Grand Prix 2022,7.2727272727272725,12.5,13.0,15.0,3,24,C2,17,C1,4,C3,12,C3,C2-C1-C3-C3,57,5.412,15,3,440,High,False,28.61042944785276,23.617791411042944,29.49079754601227,0.0,6
LAT,Bahrain Grand Prix 2022,0.3181818181818182,1.0454545454545454,20.0,16.0,3,14,C3,18,C3,13,C2,12,C3,C3-C3-C2-C3,57,5.412,15,3,440,High,False,28.61042944785276,23.617791411042944,29.49079754601227,0.0,6
HUL,Bahrain Grand Prix 2022,0.0,3.5,17.0,17.0,3,19,C3,18,C3,7,C2,13,C3,C3-C3-C2-C3,57,5.412,15,3,440,High,False,28.61042944785276,23.617791411042944,29.49079754601227,0.0,6
VER,Saudi Arabian Grand Prix 2022,0.0,0.0,4.0,1.0,1,16,C3,34,C2,0,,0,,C3-C2,50,6.175,27,3,337,Medium,True,28.40921052631579,25.42039473684211,59.66447368421053,0.0,8
LEC,Saudi Arabian Grand Prix 2022,26.0,44.0,2.0,2.0,1,16,C3,34,C2,0,,0,,C3-C2,50,6.175,27,3,337,Medium,True,28.40921052631579,25.42039473684211,59.66447368421053,0.0,8
SAI,Saudi Arabian Grand Prix 2022,18.0,44.0,3.0,3.0,1,16,C3,34,C2,0,,0,,C3-C2,50,6.175,27,3,337,Medium,True,28.40921052631579,25.42039473684211,59.66447368421053,0.0,8
PER,Saudi Arabian Grand Prix 2022,0.0,0.0,1.0,4.0,1,15,C3,35,C2,0,,0,,C3-C2,50,6.175,27,3,337,Medium,True,28.40921052631579,25.42039473684211,59.66447368421053,0.0,8
RUS,Saudi Arabian Grand Prix 2022,12.0,27.0,6.0,5.0,1,16,C3,34,C2,0,,0,,C3-C2,50,6.175,27,3,337,Medium,True,28.40921052631579,25.42039473684211,59.66447368421053,0.0,8
OCO,Saudi Arabian Grand Prix 2022,6.0,8.0,5.0,6.0,1,16,C3,34,C2,0,,0,,C3-C2,50,6.175,27,3,337,Medium,True,28.40921052631579,25.42039473684211,59.66447368421053,0.0,8
NOR,Saudi Arabian Grand Prix 2022,0.0,0.0,11.0,7.0,1,16,C3,34,C2,0,,0,,C3-C2,50,6.175,27,3,337,Medium,True,28.40921052631579,25.42039473684211,59.66447368421053,0.0,8
GAS,Saudi Arabian Grand Prix 2022,0.0,4.0,9.0,8.0,1,15,C3,35,C2,0,,0,,C3-C2,50,6.175,27,3,337,Medium,True,28.40921052631579,25.42039473684211,59.66447368421053,0.0,8
MAG,Saudi Arabian Grand Prix 2022,10.0,10.0,10.0,9.0,1,37,C2,13,C3,0,,0,,C2-C3,50,6.175,27,3,337,Medium,True,28.40921052631579,25.42039473684211,59.66447368421053,0.0,8
HAM,Saudi Arabian Grand Prix 2022,15.0,27.0,15.0,10.0,1,40,C2,10,C3,0,,0,,C2-C3,50,6.175,27,3,337,Medium,True,28.40921052631579,25.42039473684211,59.66447368421053,0.0,8
ZHO,Saudi Arabian Grand Prix 2022,1.0,9.0,12.0,11.0,2,16,C3,11,C2,23,C2,0,,C3-C2-C2,50,6.175,27,3,337,Medium,True,28.40921052631579,25.42039473684211,59.66447368421053,0.0,8
HUL,Saudi Arabian Grand Prix 2022,0.0,0.0,17.0,12.0,1,37,C2,13,C3,0,,0,,C2-C3,50,6.175,27,3,337,Medium,True,28.40921052631579,25.42039473684211,59.66447368421053,0.0,8
STR,Saudi Arabian Grand Prix 2022,0.0,0.0,13.0,13.0,1,13,C3,36,C2,0,,0,,C3-C2,50,6.175,27,3,337,Medium,True,28.40921052631579,25.42039473684211,59.66447368421053,0.0,8
LEC,Australian Grand Prix 2022,22.5,39.0,1.0,1.0,1,22,C3,36,C2,0,,0,,C3-C2,58,5.303,14,2,280,Medium,True,37.40833333333334,26.69743589743589,43.65384615384615,0.0,10
PER,Australian Grand Prix 2022,6.0,18.5,3.0,2.0,1,20,C3,38,C2,0,,0,,C3-C2,58,5.303,14,2,280,Medium,True,37.40833333333334,26.69743589743589,43.65384615384615,0.0,10
RUS,Australian Grand Prix 2022,11.0,19.0,6.0,3.0,1,23,C3,35,C2,0,,0,,C3-C2,58,5.303,14,2,280,Medium,True,37.40833333333334,26.69743589743589,43.65384615384615,0.0,10
HAM,Australian Grand Prix 2022,8.0,19.0,5.0,4.0,1,22,C3,36,C2,0,,0,,C3-C2,58,5.303,14,2,280,Medium,True,37.40833333333334,26.69743589743589,43.65384615384615,0.0,10
NOR,Australian Grand Prix 2022,3.0,3.0,4.0,5.0,1,20,C3,38,C2,0,,0,,C3-C2,58,5.303,14,2,280,Medium,True,37.40833333333334,26.69743589743589,43.65384615384615,0.0,10
RIC,Australian Grand Prix 2022,0.0,3.0,7.0,6.0,1,21,C3,37,C2,0,,0,,C3-C2,58,5.303,14,2,280,Medium,True,37.40833333333334,26.69743589743589,43.65384615384615,0.0,10
OCO,Australian Grand Prix 2022,7.0,8.0,8.0,7.0,1,17,C3,41,C2,0,,0,,C3-C2,58,5.303,14,2,280,Medium,True,37.40833333333334,26.69743589743589,43.65384615384615,0.0,10
BOT,Australian Grand Prix 2022,4.0,4.5,12.0,8.0,1,22,C3,36,C2,0,,0,,C3-C2,58,5.303,14,2,280,Medium,True,37.40833333333334,26.69743589743589,43.65384615384615,0.0,10
GAS,Australian Grand Prix 2022,2.0,4.0,11.0,9.0,1,21,C3,37,C2,0,,0,,C3-C2,58,5.303,14,2,280,Medium,True,37.40833333333334,26.69743589743589,43.65384615384615,0.0,10
ALB,Australian Grand Prix 2022,0.0,0.0,20.0,10.0,1,57,C2,1,C5,0,,0,,C2-C5,58,5.303,14,2,280,Medium,True,37.40833333333334,26.69743589743589,43.65384615384615,0.0,10
ZHO,Australian Grand Prix 2022,0.5,4.5,14.0,11.0,1,21,C3,37,C2,0,,0,,C3-C2,58,5.303,14,2,280,Medium,True,37.40833333333334,26.69743589743589,43.65384615384615,0.0,10
STR,Australian Grand Prix 2022,0.0,0.0,19.0,12.0,3,3,C2,1,C3,19,C2,35,C2,C2-C3-C2-C2,58,5.303,14,2,280,Medium,True,37.40833333333334,26.69743589743589,43.65384615384615,0.0,10
MSC,Australian Grand Prix 2022,0.0,6.0,15.0,13.0,1,14,C3,43,C2,0,,0,,C3-C2,58,5.303,14,2,280,Medium,True,37.40833333333334,26.69743589743589,43.65384615384615,0.0,10
MAG,Australian Grand Prix 2022,6.0,6.0,16.0,14.0,1,39,C2,18,C3,0,,0,,C2-C3,58,5.303,14,2,280,Medium,True,37.40833333333334,26.69743589743589,43.65384615384615,0.0,10
TSU,Australian Grand Prix 2022,2.0,4.0,13.0,15.0,1,18,C3,39,C2,0,,0,,C3-C2,58,5.303,14,2,280,Medium,True,37.40833333333334,26.69743589743589,43.65384615384615,0.0,10
LAT,Australian Grand Prix 2022,0.0,0.0,18.0,16.0,2,13,C3,10,C2,34,C2,0,,C3-C2-C2,58,5.303,14,2,280,Medium,True,37.40833333333334,26.69743589743589,43.65384615384615,0.0,10
ALO,Australian Grand Prix 2022,1.0,8.0,10.0,17.0,2,39,C2,14,C3,4,C3,0,,C2-C3-C3,58,5.303,14,2,280,Medium,True,37.40833333333334,26.69743589743589,43.65384615384615,0.0,10
VER,Emilia Romagna Grand Prix 2022,8.333333333333334,18.333333333333332,1.0,1.0,2,19,I,32,C3,12,C4,0,,I-C3-C4,63,4.909,19,1,548,Medium,False,17.41898734177215,12.899367088607592,83.17088607594937,0.0,4
PER,Emilia Romagna Grand Prix 2022,10.0,18.333333333333332,3.0,2.0,2,18,I,32,C3,13,C4,0,,I-C3-C4,63,4.909,19,1,548,Medium,False,17.41898734177215,12.899367088607592,83.17088607594937,0.0,4
NOR,Emilia Romagna Grand Prix 2022,5.333333333333333,8.0,5.0,3.0,1,19,I,44,C3,0,,0,,I-C3,63,4.909,19,1,548,Medium,False,17.41898734177215,12.899367088607592,83.17088607594937,0.0,4
RUS,Emilia Romagna Grand Prix 2022,12.333333333333334,21.666666666666668,11.0,4.0,1,18,I,45,C3,0,,0,,I-C3,63,4.909,19,1,548,Medium,False,17.41898734177215,12.899367088607592,83.17088607594937,0.0,4
BOT,Emilia Romagna Grand Prix 2022,4.0,4.333333333333333,7.0,5.0,1,18,I,45,C3,0,,0,,I-C3,63,4.909,19,1,548,Medium,False,17.41898734177215,12.899367088607592,83.17088607594937,0.0,4
LEC,Emilia Romagna Grand Prix 2022,23.666666666666668,34.666666666666664,2.0,6.0,3,19,I,30,C3,4,C4,10,C4,I-C3-C4-C4,63,4.909,19,1,548,Medium,False,17.41898734177215,12.899367088607592,83.17088607594937,0.0,4
TSU,Emilia Romagna Grand Prix 2022,1.3333333333333333,3.3333333333333335,12.0,7.0,1,18,I,45,C3,0,,0,,I-C3,63,4.909,19,1,548,Medium,False,17.41898734177215,12.899367088607592,83.17088607594937,0.0,4
VET,Emilia Romagna Grand Prix 2022,0.0,0.0,13.0,8.0,1,17,I,46,C3,0,,0,,I-C3,63,4.909,19,1,548,Medium,False,17.41898734177215,12.899367088607592,83.17088607594937,0.0,4
MAG,Emilia Romagna Grand Prix 2022,4.0,4.0,8.0,9.0,1,18,I,45,C3,0,,0,,I-C3,63,4.909,19,1,548,Medium,False,17.41898734177215,12.899367088607592,83.17088607594937,0.0,4
STR,Emilia Romagna Grand Prix 2022,0.0,0.0,15.0,10.0,1,18,I,44,C3,0,,0,,I-C3,63,4.909,19,1,548,Medium,False,17.41898734177215,12.899367088607592,83.17088607594937,0.0,4
ALB,Emilia Romagna Grand Prix 2022,0.3333333333333333,0.3333333333333333,18.0,11.0,1,17,I,45,C3,0,,0,,I-C3,63,4.909,19,1,548,Medium,False,17.41898734177215,12.899367088607592,83.17088607594937,0.0,4
GAS,Emilia Romagna Grand Prix 2022,2.0,3.3333333333333335,17.0,12.0,1,17,I,45,C3,0,,0,,I-C3,63,4.909,19,1,548,Medium,False,17.41898734177215,12.899367088607592,83.17088607594937,0.0,4
HAM,Emilia Romagna Grand Prix 2022,9.333333333333334,21.666666666666668,14.0,13.0,1,18,I,44,C3,0,,0,,I-C3,63,4.909,19,1,548,Medium,False,17.41898734177215,12.899367088607592,83.17088607594937,0.0,4
OCO,Emilia Romagna Grand Prix 2022,6.666666666666667,7.333333333333333,16.0,14.0,1,18,I,44,C3,0,,0,,I-C3,63,4.909,19,1,548,Medium,False,17.41898734177215,12.899367088607592,83.17088607594937,0.0,4
ZHO,Emilia Romagna Grand Prix 2022,0.3333333333333333,4.333333333333333,0.0,15.0,1,18,I,44,C3,0,,0,,I-C3,63,4.909,19,1,548,Medium,False,17.41898734177215,12.899367088607592,83.17088607594937,0.0,4
LAT,Emilia Romagna Grand Prix 2022,0.0,0.3333333333333333,19.0,16.0,1,18,I,44,C3,0,,0,,I-C3,63,4.909,19,1,548,Medium,False,17.41898734177215,12.899367088607592,83.17088607594937,0.0,4
MSC,Emilia Romagna Grand Prix 2022,0.0,4.0,10.0,17.0,2,18,I,34,C3,10,C4,0,,I-C3-C4,63,4.909,19,1,548,Medium,False,17.41898734177215,12.899367088607592,83.17088607594937,0.0,4
RIC,Emilia Romagna Grand Prix 2022,2.6666666666666665,8.0,6.0,18.0,3,2,I,14,I,14,C3,32,C2,I-I-C3-C2,63,4.909,19,1,548,Medium,False,17.41898734177215,12.899367088607592,83.17088607594937,0.0,4
VER,Miami Grand Prix 2022,14.75,28.25,3.0,1.0,1,26,C3,31,C2,0,,0,,C3-C2,57,5.41,19,3,379,High,False,42.81975308641975,30.617283950617285,58.858024691358025,0.05555555555555555,7
LEC,Miami Grand Prix 2022,21.5,31.0,1.0,2.0,1,24,C3,33,C2,0,,0,,C3-C2,57,5.41,19,3,379,High,False,42.81975308641975,30.617283950617285,58.858024691358025,0.05555555555555555,7
SAI,Miami Grand Prix 2022,9.5,31.0,2.0,3.0,1,27,C3,30,C2,0,,0,,C3-C2,57,5.41,19,3,379,High,False,42.81975308641975,30.617283950617285,58.858024691358025,0.05555555555555555,7
PER,Miami Grand Prix 2022,13.5,28.25,4.0,4.0,2,27,C3,14,C2,16,C3,0,,C3-C2-C3,57,5.41,19,3,379,High,False,42.81975308641975,30.617283950617285,58.858024691358025,0.05555555555555555,7
RUS,Miami Grand Prix 2022,12.25,19.25,12.0,5.0,1,40,C2,17,C3,0,,0,,C2-C3,57,5.41,19,3,379,High,False,42.81975308641975,30.617283950617285,58.858024691358025,0.05555555555555555,7
HAM,Miami Grand Prix 2022,7.0,19.25,6.0,6.0,1,22,C3,35,C2,0,,0,,C3-C2,57,5.41,19,3,379,High,False,42.81975308641975,30.617283950617285,58.858024691358025,0.05555555555555555,7
BOT,Miami Grand Prix 2022,6.0,6.25,5.0,7.0,1,26,C3,31,C2,0,,0,,C3-C2,57,5.41,19,3,379,High,False,42.81975308641975,30.617283950617285,58.858024691358025,0.05555555555555555,7
OCO,Miami Grand Prix 2022,5.0,5.5,20.0,8.0,1,41,C2,16,C4,0,,0,,C2-C4,57,5.41,19,3,379,High,False,42.81975308641975,30.617283950617285,58.858024691358025,0.05555555555555555,7
ALB,Miami Grand Prix 2022,0.25,0.25,18.0,9.0,1,16,C3,41,C2,0,,0,,C3-C2,57,5.41,19,3,379,High,False,42.81975308641975,30.617283950617285,58.858024691358025,0.05555555555555555,7
